"Station.ID","WY","UTMX","UTMY","mean.TSS","mean.Turb","mean.TP"
"LZ25",2000,524397.868554951,2957722.85155638,13.6875,22.4066666666667,100.9375
"LZ25",2001,524397.868554951,2957722.85155638,36.6285714285714,22.33,104.142857142857
"LZ25",2002,524397.868554951,2957722.85155638,14.15,11.61125,98.5
"LZ25",2003,524397.868554951,2957722.85155638,12.7,12.214375,84.5
"LZ25",2004,524397.868554951,2957722.85155638,14.04,14.175,85.8
"LZ25",2005,524397.868554951,2957722.85155638,49,59.5,180.363636363636
"LZ25",2006,524397.868554951,2957722.85155638,43.5833333333333,57.9083333333333,198.166666666667
"LZ25",2007,524397.868554951,2957722.85155638,17.05,24.57,119.6
"LZ25",2008,524397.868554951,2957722.85155638,1.5,1.1,18
"LZ25A",2009,522954.013327048,2958150.90060778,21.6666666666667,24.6333333333333,134
"LZ25A",2010,522954.013327048,2958150.90060778,13,12.8181818181818,67.0909090909091
"LZ25A",2011,522954.013327048,2958150.90060778,15.3181818181818,15.8272727272727,84.4545454545455
"LZ25A",2012,522954.013327048,2958150.90060778,5.83333333333333,7.28333333333333,45
"LZ25A",2013,522954.013327048,2958150.90060778,9.83333333333333,11.2333333333333,74.25
"LZ25A",2014,522954.013327048,2958150.90060778,12.8846153846154,13.6692307692308,87.7692307692308
"LZ25A",2015,522954.013327048,2958150.90060778,10.8333333333333,15.8916666666667,99
"LZ25A",2016,522954.013327048,2958150.90060778,11.4166666666667,17.3916666666667,94.1666666666667
"LZ25A",2017,522954.013327048,2958150.90060778,18.75,25.7,121.916666666667
"LZ25A",2018,522954.013327048,2958150.90060778,32.3636363636364,58.26,182.363636363636
"LZ25A",2019,522954.013327048,2958150.90060778,23.75,28.225,142.166666666667
"LZ25A",2020,522954.013327048,2958150.90060778,12.7083333333333,18.2416666666667,98.5
"LZ30",1988,513905.840445047,2963955.39875457,3,14.8178571428571,83.3684210526316
"LZ30",1989,513905.840445047,2963955.39875457,NA,17.4409090909091,89.4545454545455
"LZ30",1990,513905.840445047,2963955.39875457,20.8666666666667,20.7526315789474,77.4210526315789
"LZ30",1991,513905.840445047,2963955.39875457,15.8421052631579,19.05,66.7368421052632
"LZ30",1992,513905.840445047,2963955.39875457,10,11.4,66.7647058823529
"LZ30",1993,513905.840445047,2963955.39875457,11,13.6333333333333,63.7222222222222
"LZ30",1994,513905.840445047,2963955.39875457,23.8928571428571,27.4071428571429,92.2142857142857
"LZ30",1995,513905.840445047,2963955.39875457,9.5,11.7352941176471,68.3529411764706
"LZ30",1996,513905.840445047,2963955.39875457,16.6470588235294,26.7470588235294,109.470588235294
"LZ30",1997,513905.840445047,2963955.39875457,14.8125,18.074375,81.125
"LZ30",1998,513905.840445047,2963955.39875457,14.625,18.851875,93.8266666666667
"LZ30",1999,513905.840445047,2963955.39875457,13.1315789473684,18.5042105263158,87.3157894736842
"LZ30",2000,513905.840445047,2963955.39875457,22.29166875,33.0466666666667,118.4375
"LZ30",2001,513905.840445047,2963955.39875457,19.4733333333333,23.9713333333333,89.5333333333333
"LZ30",2002,513905.840445047,2963955.39875457,12.4,17.3946666666667,89.7333333333333
"LZ30",2003,513905.840445047,2963955.39875457,19.1411764705882,22.5194117647059,117.117647058824
"LZ30",2004,513905.840445047,2963955.39875457,17.65,22.5633333333333,113.083333333333
"LZ30",2005,513905.840445047,2963955.39875457,88.9545454545455,86.0727272727273,228.909090909091
"LZ30",2006,513905.840445047,2963955.39875457,53.0769230769231,73.2769230769231,211.461538461538
"LZ30",2007,513905.840445047,2963955.39875457,26.0416666666667,33.5416666666667,140.583333333333
"LZ30",2008,513905.840445047,2963955.39875457,31.3333333333333,32.7666666666667,103.888888888889
"LZ30",2009,513905.840445047,2963955.39875457,32.25,37.6083333333333,137.916666666667
"LZ30",2010,513905.840445047,2963955.39875457,22.9090909090909,22.03,105.363636363636
"LZ30",2011,513905.840445047,2963955.39875457,21.5,26.45,107.916666666667
"LZ30",2012,513905.840445047,2963955.39875457,10,12.2083333333333,63.9166666666667
"LZ30",2013,513905.840445047,2963955.39875457,15.2916666666667,23.575,103.916666666667
"LZ30",2014,513905.840445047,2963955.39875457,16.4166666666667,20.7583333333333,110.5
"LZ30",2015,513905.840445047,2963955.39875457,18.6666666666667,29.9,121
"LZ30",2016,513905.840445047,2963955.39875457,17.8333333333333,22.8916666666667,103.083333333333
"LZ30",2017,513905.840445047,2963955.39875457,25.75,33.725,171.333333333333
"LZ30",2018,513905.840445047,2963955.39875457,57.0833333333333,74.025,204.583333333333
"LZ30",2019,513905.840445047,2963955.39875457,34.5833333333333,38.8166666666667,164.833333333333
